Reference, Quantity, Value, Footprint, Datasheet, DIGIKEY, JLCPCB
C10 C11 ,2,20pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,738-CML0805C0G200JT50VCT-ND,C1798
C1 C2 C3 C4 C12 ,5,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1276-1003-1-ND,C49678
C5 C6 C7 ,3,10uF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1276-6736-1-ND,C13585
D1 ,1,Red,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,754-1132-1-ND,C84256
D2 ,1,Green,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,754-1131-1-ND,C2297
D3 ,1,Yellow,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~,754-1134-1-ND,C2296
D4 D5 D6 ,3,D,Diode_SMD:D_SOD-123,~,B5819W-TPMSCT-ND,C8598
H1 H2 H3 H4 ,4,FIDUCIAL,Fiducial:Fiducial_1.5mm_Mask3mm,,,
H5 H6 H7 H8 ,4,MountingHole,MountingHole:MountingHole_3mm_Pad,~,,
J1 ,1,Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,,
J10 ,1,Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,~,,
J11 ,1,DB25_Male_MountingHoles,Connector_Dsub:DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm, ~,2057-DB25-PL-24-ND,C190082
J12 ,1,Conn_02x25_Odd_Even,AL_Footprints:PinHeader_2x25_P2.54mm_Vertical_Shrouded,~,ED10530-ND,C601945
J13 ,1,TF115,AL_Footprints:TF-015_MEM2075_HYBRID,,2073-MEM2075-00-140-01-ACT-ND,C266620
J2 ,1,MC-107DM,Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,664-12402012E212ACT-ND,C2874569
J4 ,1,Conn_01x04_Male,AL_Footprints:BERG_4PIN,~,A106197-ND,C210162
J3 J5 J7 J8 ,4,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,,
J6 J9 ,2,Jumper,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,2057-PH1-02-UA-ND,C2894925
R1 R10 R29 ,3,0-DNP,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 ,18,220,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RMCF0805FT220RCT-ND,C17557
R2 ,1,1.5K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RMCF0805FT1K50CT-ND,C4310
R3 R4 ,2,22,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RMCF0805FT22R0CT-ND,C17561
R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R68 R69 R70 R71 R72 R73 R74 R75 R76 R77 R78 R79 R80 R81 R82 R83 R84 R85 ,36,100,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RMCF0805FT100RCT-ND,C17408
R48 R49 ,2,10K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RMCF0805JT10K0CT-ND,C17414
R5 R86 R87 ,3,5.1K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RMCF0805FT5K10CT-ND,C27834
R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 ,18,120,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT120RCT-ND,C17437
R6 R7 R8 R9 ,4,2.7K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RMCF0805FT2K70CT-ND,C17530
U1 ,1,LM1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.ti.com/lit/ds/symlink/lm1117.pdf,AZ1117IH-3.3TRG1DICT-ND,C6186
U2 ,1,GD32F103CBT6,Package_QFP:LQFP-48_7x7mm_P0.5mm,,497-17380-1-ND,C77979
X1 ,1,8MHz,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,,XC2103CT-ND,C115962
